,Unnamed: 0,price,bedrooms,bathrooms,sqft_lot,sqft_living,floors,waterfront,condition,grade,sqft_above,sqft_basement,district,grades,grade_num,total_sch,total_student,transport_dist,medical_emerg_dist,entertain_dist,job_center_dist,zip,prop_crime,viol_crime,totalcrime_percapita
0,0,538000.0,3,2.25,7242,2570,2.0,0.0,3,7,2170,400.0,seattle,A-,11,108,"55,271",4.627271432394259,1.99006720876329,2.40742100116879,4.627271432394259,98125,23.132246335198694,27.758695602238436,50.890941937437134
1,1,180000.0,2,1.0,10000,770,1.0,0.0,3,6,770,0.0,northshore,A,12,39,23500,5.20468512313191,2.79285151730663,2.60538381398196,5.20468512313191,98028,29.999052887044567,12.856736951590529,42.8557898386351
2,2,604000.0,4,3.0,5000,1960,1.0,0.0,5,7,1050,910.0,seattle,A-,11,108,"55,271",4.84557837286697,2.95767820560565,2.85819675533335,4.84557837286697,98136,6.126509104697077,6.126509104697077,12.253018209394154
3,3,510000.0,3,2.0,8080,1680,1.0,0.0,3,8,1680,0.0,lake washington,A+,13,55,"30,675",10.1992691062835,11.37644064047,0.804176936730273,10.1992691062835,98074,34.277996056247986,10.283398816874401,44.56139487312239
4,4,1230000.0,4,4.5,101930,5420,1.0,0.0,3,11,3890,1530.0,lake washington,A+,13,55,"30,675",11.170546619516301,11.306430374942801,2.92008554334291,11.170546619516301,98053,516.4919935656775,220.0705016062452,736.5624951719227
5,5,257500.0,3,2.25,6819,1715,2.0,0.0,3,7,1715,0.0,federal way,C+,7,46,"23,489",1.73292148396006,1.37360914179641,1.54498926606572,1.73292148396006,98003,122.3728455859312,70.21392779520643,192.58677338113762
6,6,291850.0,3,1.5,9711,1060,1.0,0.0,3,7,1060,0.0,highline,C+,7,40,"19,213",4.83565407425322,1.98070582226822,2.28320595499321,4.83565407425322,98198,26.59749261713449,37.23648966398829,63.83398228112277
7,7,229500.0,3,1.0,7470,1780,1.0,0.0,3,7,1050,730.0,highline,C+,7,40,"19,213",4.6863639673344,4.17159052566745,6.096730731617599,4.6863639673344,98146,1633.8459198023832,549.1632423552895,2183.0091621576726
8,8,323000.0,3,2.5,6560,1890,2.0,0.0,3,7,1890,0.0,tahoma,A,12,9,"8,906",0.991228225235318,1.95413013698982,0.837422609084185,0.991228225235318,98038,257.41397001283934,123.11102913657534,380.52499914941467
9,9,468000.0,2,1.0,6000,1160,1.0,0.0,4,7,860,300.0,seattle,A-,11,108,"55,271",3.7302892263595004,2.26175881443902,1.87303861607854,3.7302892263595004,98115,3.6982479661207934,7.396495932241589,11.094743898362381
10,10,310000.0,3,1.0,19901,1430,1.5,0.0,4,7,1430,0.0,northshore,A,12,39,23500,4.925670688187389,1.87615945351696,2.29189098448659,4.925670688187389,98028,29.999052887044567,12.856736951590529,42.8557898386351
11,11,400000.0,3,1.75,9680,1370,1.0,0.0,4,7,1370,0.0,lake washington,A+,13,55,"30,675",10.255717167584699,11.7266576961104,0.976655254350376,10.255717167584699,98074,34.277996056247986,10.283398816874401,44.56139487312239
12,12,530000.0,5,2.0,4850,1810,1.5,0.0,3,7,1810,0.0,seattle,A-,11,108,"55,271",5.878021979035309,2.05202385346257,2.40389344499033,5.878021979035309,98107,0.0,13.470219499920795,13.470219499920795
13,13,650000.0,4,3.0,5000,2950,2.0,0.0,3,9,1980,970.0,seattle,A-,11,108,"55,271",3.6543325758157796,1.7903707272999,1.59387148631735,3.6543325758157796,98126,211.4556382241143,99.50853563487732,310.9641738589916
14,14,395000.0,3,2.0,14040,1890,2.0,0.0,3,7,1890,0.0,riverview,B+,10,9,"3,482",2.54166868999487,2.28297061699771,0.888238374353789,2.54166868999487,98019,234.76854088599381,80.95466927103234,315.7232101570262
15,15,485000.0,4,1.0,4300,1600,1.5,0.0,4,7,1600,0.0,seattle,A-,11,108,"55,271",2.96397456370199,1.91180543509172,1.3877387274175,2.96397456370199,98103,7.368066028186903,29.472264112747613,36.84033014093452
16,16,189000.0,2,1.0,9850,1200,1.0,0.0,4,7,1200,0.0,auburn,B,9,24,"17,505",2.05537899970721,1.47666544637115,3.29092335466681,2.05537899970721,98002,31.29479423046897,14.224906468394988,45.51970069886396
17,17,230000.0,3,1.0,9774,1250,1.0,0.0,4,7,1250,0.0,federal way,C+,7,46,"23,489",2.64241089690432,2.4721560949362003,2.10168520019454,2.64241089690432,98003,122.3728455859312,70.21392779520643,192.58677338113762
18,18,385000.0,4,1.75,4980,1620,1.0,0.0,4,7,860,760.0,seattle,A-,11,108,"55,271",3.54671136537006,0.313806968055734,1.58183612358734,3.54671136537006,98133,30.14211343357435,54.25580418043383,84.39791761400818
19,19,2000000.0,3,2.75,44867,3050,1.0,0.0,3,9,2330,720.0,mercer island,A+,13,6,"4,522",3.78326116975093,3.35343233076185,1.25993339316189,3.78326116975093,98040,0.0,8.100445524503849,8.100445524503849
20,20,285000.0,5,2.5,6300,2270,2.0,0.0,3,8,2270,0.0,auburn,B,9,24,"17,505",3.0454118682653903,3.47181017582317,4.13707262048152,3.0454118682653903,98092,215.23883705263447,59.644497014585475,274.88333406721995
21,21,329000.0,3,2.25,6500,2450,2.0,0.0,4,8,2450,0.0,kent,B,9,44,"27,291",4.06274203530504,2.14461112002283,2.5650571668511404,4.06274203530504,98030,8.129690018171482,8.129690018171482,16.259380036342964
