,county,zip,population_2020,property_crime,violent_crime,propertycrime_percapita,violentcrime_percapita
183,King,98001,36261.051,265.0,98.0,730.8116910345484,270.2624366844745
184,King,98002,35149.616,11.0,5.0,31.294794230468973,14.224906468394988
185,King,98003,49847.66,61.0,35.0,122.3728455859312,70.21392779520643
186,King,98004,36271.062,2.0,3.0,5.514037609375761,8.271056414063642
187,King,98005,20516.666,2.0,0.0,9.748172534465395,0.0
188,King,98006,39022.063,7.0,4.0,17.938569777820305,10.250611301611604
189,King,98007,29175.289,1.0,1.0,3.4275581640339534,3.4275581640339534
190,King,98008,26229.871,0.0,0.0,0.0,0.0
191,King,98010,6236.846,2.0,1.0,32.06749052325487,16.033745261627434
192,King,98011,35685.298,2.0,0.0,5.604548965795382,0.0
193,King,98014,7688.722,28.0,14.0,364.16975408917114,182.08487704458557
194,King,98019,12352.592,29.0,10.0,234.76854088599381,80.95466927103234
195,King,98022,22828.666,78.0,26.0,341.67568091801775,113.89189363933923
196,King,98023,51056.817,0.0,1.0,0.0,1.9586023155340844
197,King,98024,6065.584,59.0,14.0,972.7010622555059,230.81042155215394
198,King,98027,31106.116,99.0,17.0,318.2653854952511,54.65163185271989
199,King,98028,23334.07,7.0,3.0,29.999052887044567,12.856736951590529
200,King,98029,29565.156,10.0,4.0,33.82359964547456,13.529439858189825
201,King,98030,36901.776,3.0,3.0,8.129690018171482,8.129690018171482
202,King,98031,39106.12,4.0,5.0,10.228578033310386,12.785722541637984
203,King,98032,37287.21,49.0,22.0,131.41235292208776,59.001464577263896
204,King,98033,39208.715,5.0,2.0,12.75226693861301,5.100906775445204
205,King,98034,45557.868,3.0,1.0,6.585031591030554,2.1950105303435183
206,King,98038,35740.096,92.0,44.0,257.41397001283934,123.11102913657534
207,King,98039,3302.092,,,,
208,King,98040,24690,0.0,2.0,0.0,8.100445524503849
209,King,98042,49148.506,132.0,46.0,268.5737792314582,93.59389276247786
210,King,98045,15861.386,68.0,12.0,428.714111112358,75.65543137276906
211,King,98047,6702.906,0.0,0.0,0.0,0.0
212,King,98050,366.753,1.0,0.0,272.66307296736494,0.0
213,King,98051,3784.864,25.0,14.0,660.5257150587181,369.8944004328821
214,King,98052,73899.795,57.0,13.0,77.13147242154055,17.59138844701802
215,King,98053,22265.592,115.0,49.0,516.4919935656775,220.0705016062452
216,King,98055,25061.163,1.0,1.0,3.990237803409203,3.990237803409203
217,King,98056,36839.804,6.0,3.0,16.286731601503636,8.143365800751818
218,King,98057,13347.149,13.0,5.0,97.39907751086018,37.461183658023145
219,King,98058,45205.03,357.0,85.0,789.7351246089206,188.0321725259335
220,King,98059,40466.639,126.0,37.0,311.36759343912894,91.43334093053785
221,King,98065,15828.521,79.0,20.0,499.0990630141628,126.35419316814249
222,King,98068,122.207,2.0,0.0,1636.5674634022603,0.0
223,King,98070,10850.47,103.0,46.0,949.267635411185,423.9447692127622
224,King,98072,21913.876,60.0,13.0,273.7991216159113,59.323143016780776
225,King,98074,29173.234,10.0,3.0,34.27799605624799,10.2833988168744
226,King,98075,24656.794,5.0,0.0,20.278386557473773,0.0
227,King,98077,13403.698,64.0,19.0,477.48017002472,141.75192547608876
228,King,98092,38561.814,83.0,23.0,215.23883705263452,59.644497014585475
229,King,98101,17849.823,37.0,48.0,207.28496859604715,268.9102295300071
230,King,98102,27553.905,5.0,13.0,18.14624823595784,47.1802454134904
231,King,98103,54288.33,4.0,16.0,7.368066028186904,29.472264112747617
232,King,98104,19567.747,55.0,129.0,281.07477064170956,659.2480984141915
233,King,98105,55347.268,10.0,13.0,18.067739133935213,23.488060874115774
234,King,98106,26131.336,207.0,73.0,792.1523798094364,279.35808563327953
235,King,98107,29695.136,0.0,4.0,0.0,13.470219499920796
236,King,98108,25335.355,65.0,27.0,256.55847332709567,106.57044276663976
237,King,98109,37890.705,5.0,9.0,13.195848427734454,23.752527169922015
238,King,98112,24054.273,1.0,4.0,4.15726553032802,16.62906212131208
239,King,98115,54079.662,2.0,4.0,3.6982479661207943,7.396495932241589
240,King,98116,27319.408,3.0,4.0,10.981204277925789,14.641605703901051
